timestamp,linear_x,angular_z
1785243244729265315,0.0,0.0
1785243244834045437,0.0,0.0
1785243244934815244,0.0,0.0
1785243245035324778,0.0,0.0
1785243245136028248,0.0,0.0
1785243245236727819,0.0,0.0
1785243245337396010,0.0,0.0
1785243245437902228,0.0,0.0
1785243245538547044,0.0,0.0
1785243245640286473,0.0,0.0
1785243245743650129,0.0,0.0
1785243245847237838,0.0,0.0
1785243245947726653,0.0,0.0
1785243246045108136,0.0,0.0
1785243246145692966,0.0,0.0
1785243246246289068,0.0,0.0
1785243246346977137,0.0,0.0
1785243246447579160,0.0,0.0
1785243246548180331,0.0,0.0
1785243246648775512,0.0,0.0
1785243246749519739,0.0,0.0
1785243246850096914,0.0,0.0
1785243246950832365,0.0,0.0
1785243247051351749,0.0,0.0
1785243247152078312,0.0,0.0
1785243247253488712,0.0,0.0
1785243247353705229,0.0,0.0
1785243247454582525,0.0,0.0
1785243247557928787,0.0,0.0
1785243247660210624,0.0,0.0
1785243247760987833,0.0,0.0
1785243247861111338,0.0,0.0
1785243247961618214,0.0,0.0
1785243248062230549,0.0,0.0
1785243248163022364,0.0,0.0
1785243248263678167,0.0,0.0
1785243248364411593,0.0,0.0
1785243248468575938,0.0,0.0
1785243248568646951,0.0,0.0
1785243248669408688,0.0,0.0
1785243248770000114,0.0,0.0
1785243248870563340,0.0,0.0
1785243248971173375,0.0,0.0
1785243249071829378,0.0,0.0
1785243249074891976,0.005,0.0
1785243249179297431,0.01,0.0
1785243249286952641,0.01,0.0
1785243249383608199,0.01,0.0
1785243249480549462,0.01,0.0
1785243249581337785,0.01,0.0
1785243249681860190,0.01,0.0
1785243249751993247,0.015,0.0
1785243249852555421,0.02,0.0
1785243249953153550,0.02,0.0
1785243250053913723,0.02,0.0
1785243250154542248,0.02,0.0
1785243250255133383,0.02,0.0
1785243250359233622,0.02,0.0
1785243250467656689,0.02,0.0
1785243250564595717,0.02,0.0
1785243250665186592,0.02,0.0
1785243250765758045,0.02,0.0
1785243250866368572,0.02,0.0
1785243250967063507,0.02,0.0
1785243251067714869,0.02,0.0
1785243251169114297,0.02,0.0
1785243251268837934,0.02,0.0
1785243251369473003,0.02,0.0
1785243251470198339,0.02,0.0
1785243251572015284,0.02,0.0
1785243251676108500,0.02,0.0
1785243251776743630,0.02,0.0
1785243251877461299,0.02,0.0
1785243251978083074,0.02,0.0
1785243252078699006,0.02,0.0
1785243252179432062,0.02,0.0
1785243252282373836,0.02,0.0
1785243252383750604,0.02,0.0
1785243252482395379,0.02,0.0
1785243252583041308,0.02,0.0
1785243252687593933,0.02,0.0
1785243252784144573,0.02,0.0
1785243252884797798,0.02,0.0
1785243252985356217,0.02,0.0
1785243253087754618,0.02,0.0
1785243253187174836,0.02,0.0
1785243253287771901,0.02,0.0
1785243253388868452,0.02,0.0
1785243253489381232,0.02,0.0
1785243253590036210,0.02,0.0
1785243253690794189,0.02,0.0
1785243253795644384,0.02,0.0
1785243253892312402,0.02,0.0
1785243253992895550,0.02,0.0
1785243254093457828,0.02,0.0
1785243254194156311,0.02,0.0
1785243254294639273,0.02,0.0
1785243254396770316,0.02,0.0
1785243254496246329,0.02,0.0
1785243254596722038,0.02,0.0
1785243254697382747,0.02,0.0
1785243254802796962,0.02,0.0
1785243254900653788,0.02,0.0
1785243255001272686,0.02,0.0
1785243255101814585,0.02,0.0
1785243255202562455,0.02,0.0
1785243255307722632,0.02,0.0
1785243255404179881,0.02,0.0
1785243255504716106,0.02,0.0
1785243255605651601,0.02,0.0
1785243255706276229,0.02,0.0
1785243255806945895,0.02,0.0
1785243255907473234,0.02,0.0
1785243256008086850,0.02,0.0
1785243256108751506,0.02,0.0
1785243256209333641,0.02,0.0
1785243256310036683,0.02,0.0
1785243256417169773,0.02,0.0
1785243256511146366,0.02,0.0
1785243256613220614,0.02,0.0
1785243256712742980,0.02,0.0
1785243256813340917,0.02,0.0
1785243256913931087,0.02,0.0
1785243257014555836,0.02,0.0
1785243257058766885,0.0,0.0
1785243257164594818,0.0,0.0
1785243257264710765,0.0,0.0
1785243257366332467,0.0,0.0
1785243257466679365,0.0,0.0
1785243257567401153,0.0,0.0
1785243257668045560,0.0,0.0
1785243257768608137,0.0,0.0
1785243257869253135,0.0,0.0
1785243257973380418,0.0,0.0
1785243258072502034,0.0,0.0
1785243258173114258,0.0,0.0
1785243258273888618,0.0,0.0
1785243258374428120,0.0,0.0
1785243258475048179,0.0,0.0
1785243258575762743,0.0,0.0
1785243258676412280,0.0,0.0
1785243258776982602,0.0,0.0
1785243258877612570,0.0,0.0
1785243258984451539,0.0,0.0
1785243259083722956,0.0,0.0
1785243259187628708,0.0,0.0
1785243259282036396,0.0,0.0
1785243259382675497,0.0,0.0
1785243259483330174,0.0,0.0
1785243259584014128,0.0,0.0
1785243259688143698,0.0,0.0
1785243259788869303,0.0,0.0
1785243259889325973,0.0,0.0
1785243259989932466,0.0,0.0
1785243260090579999,0.0,0.0
1785243260191159479,0.0,0.0
1785243260291852770,0.0,0.0
1785243260392497467,0.0,0.0
1785243260493135412,0.0,0.0
1785243260593821284,0.0,0.0
1785243260699773827,0.0,0.0
1785243260795432031,0.0,0.0
1785243260896769410,0.0,0.0
1785243260997353169,0.0,0.0
1785243261098065879,0.0,0.0
1785243261198753029,0.0,0.0
1785243261299593969,0.0,0.0
1785243261401171698,0.0,0.0
1785243261501357891,0.0,0.0
1785243261601881782,0.0,0.0
1785243261702528783,0.0,0.0
1785243261803247886,0.0,0.0
1785243261903890439,0.0,0.0
1785243262004467163,0.0,0.0
1785243262105124595,0.0,0.0
1785243262206759957,0.0,0.0
1785243262308935220,0.0,0.0
1785243262411633588,0.0,0.0
1785243262508336360,0.0,0.0
1785243262608988783,0.0,0.0
1785243262709650362,0.0,0.0
1785243262810336020,0.0,0.0
1785243262911005085,0.0,0.0
1785243263017396289,0.0,0.0
1785243263112176048,0.0,0.0
1785243263212665934,0.0,0.0
1785243263313387910,0.0,0.0
1785243263414002642,0.0,0.0
1785243263514643163,0.0,0.0
1785243263615209313,0.0,0.0
1785243263715770093,0.0,0.0
1785243263816388773,0.0,0.0
1785243263916849789,0.0,0.0
1785243264019999029,0.0,0.0
1785243264120881777,0.0,0.0
1785243264221744311,0.0,0.0
1785243264322543874,0.0,0.0
1785243264423334488,0.0,0.0
1785243264529437611,0.0,0.0
1785243264628839395,0.0,0.0
1785243264729453797,0.0,0.0
1785243264830119225,0.0,0.0
1785243264930807396,0.0,0.0
1785243265031333378,0.0,0.0
1785243265132151168,0.0,0.0
1785243265232548066,0.0,0.0
1785243265336052104,0.0,0.0
1785243265436492917,0.0,0.0
1785243265540114697,0.0,0.0
1785243265647726207,0.0,0.0
1785243265741269330,0.0,0.0
1785243265841971778,0.0,0.0
1785243265942455732,0.0,0.0
1785243266043515628,0.0,0.0
1785243266146760935,0.0,0.0
1785243266247623848,0.0,0.0
1785243266348005258,0.0,0.0
1785243266448601255,0.0,0.0
1785243266549243299,0.0,0.0
1785243266649963791,0.0,0.0
1785243266750680295,0.0,0.0
1785243266851110980,0.0,0.0
1785243266955665017,0.0,0.0
1785243267055613687,0.0,0.0
1785243267156224101,0.0,0.0
1785243267263612717,0.0,0.0
1785243267357388141,0.0,0.0
1785243267458088627,0.0,0.0
1785243267558718598,0.0,0.0
1785243267659346034,0.0,0.0
1785243267759922744,0.0,0.0
1785243267863573459,0.0,0.0
1785243267961265834,0.0,0.0
1785243268059877960,0.0,0.0
1785243268160630293,0.0,0.0
1785243268261109528,0.0,0.0
1785243268361769957,0.0,0.0
1785243268462482954,0.0,0.0
1785243268508265047,0.0,0.0
1785243268602659904,0.0,0.0
1785243268703363514,0.0,0.0
1785243268803862387,0.0,0.0
1785243268904479454,0.0,0.0
1785243269005122710,0.0,0.0
1785243269105790503,0.0,0.0
1785243269206365189,0.0,0.0
1785243269307013946,0.0,0.0
1785243269410203272,0.0,0.0
1785243269517028660,0.0,0.0
1785243269613435772,0.0,0.0
1785243269712401353,0.0,0.0
1785243269813042321,0.0,0.0
1785243269913800017,0.0,0.0
1785243270014366861,0.0,0.0
1785243270115005675,0.0,0.0
1785243270204223005,0.0,0.0
1785243270304867030,0.0,0.0
1785243270405413083,0.0,0.0
1785243270506083709,0.0,0.0
1785243270606709618,0.0,0.0
1785243270707330768,0.0,0.0
1785243270807968029,0.0,0.0
1785243270908560483,0.0,0.0
1785243271009363657,0.0,0.0
1785243271110011517,0.0,0.0
1785243271165734177,0.005,0.0
1785243271262817817,0.01,0.0
1785243271363434856,0.01,0.0
1785243271464002819,0.01,0.0
1785243271558673101,0.015,0.0
1785243271659219723,0.02,0.0
1785243271759843314,0.02,0.0
1785243271860462297,0.02,0.0
1785243271925788643,0.025,0.0
1785243272025284849,0.03,0.0
1785243272126012464,0.03,0.0
1785243272226633690,0.03,0.0
1785243272330855196,0.03,0.0
1785243272431026056,0.03,0.0
1785243272531278646,0.03,0.0
1785243272632027972,0.03,0.0
1785243272732715128,0.03,0.0
1785243272833195640,0.03,0.0
1785243272934165546,0.03,0.0
1785243273034731736,0.03,0.0
1785243273135369264,0.03,0.0
1785243273235988668,0.03,0.0
1785243273336671665,0.03,0.0
1785243273437149393,0.03,0.0
1785243273537781531,0.03,0.0
1785243273638401967,0.03,0.0
1785243273743810913,0.03,0.0
1785243273843185233,0.03,0.0
1785243273943698671,0.03,0.0
1785243274044408831,0.03,0.0
1785243274144878152,0.03,0.0
1785243274245540318,0.03,0.0
1785243274351610012,0.03,0.0
1785243274451160485,0.03,0.0
1785243274554484488,0.03,0.0
1785243274652268206,0.03,0.0
1785243274752919462,0.03,0.0
1785243274853918654,0.03,0.0
1785243274954236831,0.03,0.0
1785243275055061805,0.03,0.0
1785243275155620791,0.03,0.0
1785243275258351023,0.03,0.0
1785243275359651027,0.03,0.0
1785243275463026721,0.03,0.0
1785243275562806425,0.03,0.0
1785243275663557800,0.03,0.0
1785243275764166483,0.03,0.0
1785243275864862806,0.03,0.0
1785243275965483772,0.03,0.0
1785243276066187239,0.03,0.0
1785243276166725284,0.03,0.0
1785243276267404895,0.03,0.0
1785243276368202867,0.03,0.0
1785243276468526684,0.03,0.0
1785243276571188532,0.03,0.0
1785243276669611559,0.03,0.0
1785243276774164913,0.03,0.0
1785243276874152767,0.034999999999999996,0.0
1785243276974773563,0.039999999999999994,0.0
1785243277075432033,0.04,0.0
1785243277113752524,0.045,0.0
1785243277220719545,0.049999999999999996,0.0
1785243277315284381,0.05,0.0
1785243277339321687,0.055,0.0
1785243277440105159,0.06,0.0
1785243277540664415,0.060000000000000005,0.0
1785243277641591859,0.060000000000000005,0.0
1785243277701654687,0.065,0.0
1785243277802209715,0.07,0.0
1785243277902801165,0.07,0.0
1785243278003369940,0.07,0.0
1785243278105837551,0.07,0.0
1785243278205766049,0.07,0.0
1785243278305504788,0.07,0.0
1785243278409760090,0.07,0.0
1785243278506643000,0.07,0.0
1785243278607324975,0.07,0.0
1785243278708056185,0.07,0.0
1785243278813833590,0.07,0.0
1785243278909867728,0.07,0.0
1785243279010522644,0.07,0.0
1785243279111343505,0.07,0.0
1785243279211797848,0.07,0.0
1785243279312475810,0.07,0.0
1785243279417668883,0.07,0.0
1785243279514331508,0.07,0.0
1785243279614902694,0.07,0.0
1785243279717279313,0.07,0.0
1785243279816020156,0.07,0.0
1785243279851857954,0.07500000000000001,0.0
1785243279952553704,0.08,0.0
1785243280053168745,0.08,0.0
1785243280153755050,0.08,0.0
1785243280256292976,0.08,0.0
1785243280356875985,0.08,0.0
1785243280457495554,0.08,0.0
1785243280558144353,0.08,0.0
1785243280661782252,0.08,0.0
1785243280759657851,0.08,0.0
1785243280860647086,0.08,0.0
1785243280961116672,0.08,0.0
1785243281061638582,0.08,0.0
1785243281162287460,0.08,0.0
1785243281262848987,0.08,0.0
1785243281369834407,0.08,0.0
1785243281469960572,0.08,0.0
1785243281567477229,0.08,0.0
1785243281670466288,0.08,0.0
1785243281770745331,0.08,0.0
1785243281871254726,0.08,0.0
1785243281977820896,0.08,0.0
1785243282075017687,0.08,0.0
1785243282177780613,0.08,0.0
1785243282277177490,0.08,0.0
1785243282380129977,0.08,0.0
1785243282481682153,0.08,0.0
1785243282582780421,0.08,0.0
1785243282685814207,0.08,0.0
1785243282784902280,0.08,0.0
1785243282889732151,0.08,0.0
1785243282987256583,0.08,0.0
1785243283001810511,0.085,0.0
1785243283100766370,0.09,0.0
1785243283202378367,0.09,0.0
1785243283305741082,0.09,0.0
1785243283305932728,0.095,0.0
1785243283410010411,0.09999999999999999,0.0
1785243283514754861,0.09999999999999999,0.0
1785243283611507838,0.09999999999999999,0.0
1785243283712216623,0.09999999999999999,0.0
1785243283812701470,0.09999999999999999,0.0
1785243283913418261,0.09999999999999999,0.0
1785243283999571105,0.105,0.0
1785243284100188752,0.10999999999999999,0.0
1785243284200832168,0.10999999999999999,0.0
1785243284301508150,0.10999999999999999,0.0
1785243284402161746,0.10999999999999999,0.0
1785243284502853238,0.10999999999999999,0.0
1785243284605822387,0.10999999999999999,0.0
1785243284704314193,0.10999999999999999,0.0
1785243284804977587,0.10999999999999999,0.0
1785243284905544725,0.10999999999999999,0.0
1785243285006259915,0.10999999999999999,0.0
1785243285106796803,0.10999999999999999,0.0
1785243285207478545,0.10999999999999999,0.0
1785243285310276770,0.10999999999999999,0.0
1785243285409632156,0.10999999999999999,0.0
1785243285509833603,0.10999999999999999,0.0
1785243285610201231,0.10999999999999999,0.0
1785243285710984897,0.10999999999999999,0.0
1785243285811734420,0.10999999999999999,0.0
1785243285912354594,0.10999999999999999,0.0
1785243286018064849,0.10999999999999999,0.0
1785243286119081717,0.10999999999999999,0.0
1785243286219545673,0.10999999999999999,0.0
1785243286321892554,0.10999999999999999,0.0
1785243286419967114,0.10999999999999999,0.0
1785243286522217965,0.10999999999999999,0.0
1785243286625793202,0.10999999999999999,0.0
1785243286725769173,0.10999999999999999,0.0
1785243286823926409,0.10999999999999999,0.0
1785243286871710646,0.10999999999999999,0.05
1785243286972421175,0.10999999999999999,0.1
1785243287073139678,0.10999999999999999,0.1
1785243287124133793,0.10999999999999999,0.15000000000000002
1785243287224867948,0.10999999999999999,0.2
1785243287327996748,0.10999999999999999,0.25
1785243287427481623,0.10999999999999999,0.3
1785243287516679446,0.10999999999999999,0.35
1785243287617261423,0.10999999999999999,0.39999999999999997
1785243287721164278,0.10999999999999999,0.4
1785243287821773425,0.10999999999999999,0.4
1785243287929760700,0.10999999999999999,0.4
1785243288026781652,0.10999999999999999,0.4
1785243288127975690,0.10999999999999999,0.4
1785243288228236991,0.10999999999999999,0.4
1785243288329012924,0.10999999999999999,0.4
1785243288434399776,0.10999999999999999,0.4
1785243288535061883,0.10999999999999999,0.4
1785243288635799458,0.10999999999999999,0.4
1785243288736535560,0.10999999999999999,0.4
1785243288837093230,0.10999999999999999,0.4
1785243288942110016,0.10999999999999999,0.4
1785243289043114045,0.10999999999999999,0.4
1785243289144469967,0.10999999999999999,0.4
1785243289244982068,0.10999999999999999,0.4
1785243289345519219,0.10999999999999999,0.4
1785243289446155985,0.10999999999999999,0.4
1785243289546871477,0.10999999999999999,0.4
1785243289647515497,0.10999999999999999,0.4
1785243289748162665,0.10999999999999999,0.4
1785243289856241785,0.10999999999999999,0.4
1785243289954959867,0.10999999999999999,0.4
1785243290056268004,0.10999999999999999,0.4
1785243290157284117,0.10999999999999999,0.4
1785243290265680900,0.10999999999999999,0.4
1785243290362640855,0.10999999999999999,0.4
1785243290466171164,0.10999999999999999,0.4
1785243290566863799,0.10999999999999999,0.4
1785243290667374570,0.10999999999999999,0.4
1785243290769776590,0.10999999999999999,0.4
1785243290869059172,0.10999999999999999,0.4
1785243290970421115,0.10999999999999999,0.4
1785243291070926282,0.10999999999999999,0.4
1785243291172208830,0.10999999999999999,0.4
1785243291273958086,0.10999999999999999,0.4
1785243291374581346,0.10999999999999999,0.4
1785243291475132664,0.10999999999999999,0.4
1785243291563697086,0.10999999999999999,0.4
1785243291666908900,0.10999999999999999,0.4
1785243291764946472,0.10999999999999999,0.4
1785243291865891015,0.10999999999999999,0.4
1785243291973694392,0.10999999999999999,0.4
1785243292070580429,0.10999999999999999,0.4
1785243292171213608,0.10999999999999999,0.4
1785243292271869322,0.10999999999999999,0.4
1785243292372342307,0.10999999999999999,0.4
1785243292473021297,0.10999999999999999,0.4
1785243292525705094,0.10999999999999999,0.4
1785243292621756133,0.10999999999999999,0.4
1785243292719342748,0.10999999999999999,0.4
1785243292820375473,0.10999999999999999,0.4
